"","event","white","black","whiteelo","blackelo","whiterd","blackrd","timecontrol","date","time","whiteclock","blackclock","eco","plycount","result","moves","comp"
"1","FICS rated blitz game","Knightsmasher","josephalee","2368","2436","40.3","64.1","600+0","2017.01.31","23:42:00","0:10:00.000","0:10:00.000","C00","71","0-1","1. e4 e6 2. Nf3 d5 3. e5 c5 4. Be2 Nc6 5. O-O Nge7 6. Re1 Nf5 7. Bd3 g5 8. h3 h5 9. Bxf5 exf5 10. d3 Be7 11. Kf1 f4 12. Nc3 Be6 13. Nb5 g4 14. hxg4 hxg4 15. Ng1 a6 16. Nd6+ Bxd6 17. exd6 f3 18. gxf3 Rh1 19. fxg4 Qh4 20. Re3 O-O-O 21. Qf3 Bxg4 22. Qxf7 Bh3+ 23. Ke2 Bd7 24. Rg3 Nd4+ 25. Kd2 Nf5 26. Qxd5 Nxg3 27. Qxc5+ Kb8 28. fxg3 Rh2+ 29. Kc3 Qf6+ 30. Kb3 Rc8 31. Qb4 Rcxc2 32. d4 a5 33. Qb6 Rc6 34. Qxa5 Qxd4 35. Qd8+ Ka7 36. Qa5+ {White resigns} 0-1","white"
"2","FICS rated blitz game","josephalee","pikozrout","2428","2290","65.1","32.2","300+14","2017.01.31","23:12:00","0:05:00.000","0:05:00.000","C08","83","1-0","1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nf6 6. Bb5+ Bd7 7. Bxd7+ Nbxd7 8. O-O Be7 9. dxc5 Nxc5 10. Nb3 Nce4 11. Nfd4 Qd7 12. f3 Nd6 13. Nc5 Qc8 14. Nd3 O-O 15. Bf4 Nf5 16. Nxf5 Qxf5 17. Re1 Rfe8 18. Qd2 b6 19. Re5 Bc5+ 20. Kf1 Rxe5 21. Bxe5 Ng4 22. Re1 Re8 23. Bf4 Rxe1+ 24. Qxe1 Nf6 25. Qc3 d4 26. Qc4 Nd5 27. Bd2 Nc7 28. Nxc5 bxc5 29. b4 Ne6 30. bxc5 Qe5 31. c3 dxc3 32. Bxc3 Qxh2 33. c6 Nf4 34. c7 Qxg2+ 35. Ke1 Nd3+ 36. Kd1 Qxf3+ 37. Kd2 Qf2+ 38. Kxd3 Qf1+ 39. Kd4 Qf4+ 40. Kd5 Qf5+ 41. Kd6 Qg6+ 42. Kd7 {Black resigns} 1-0","black"
"3","FICS rated standard game","peepchuy","kamenozrout","1865","2154","108.3","76.7","900+0","2017.01.31","22:46:00","0:15:00.000","0:15:00.000","A10","36","0-1","1. Nf3 f5 2. c4 Nf6 3. g3 g6 4. b4 Bg7 5. Bb2 O-O 6. Bg2 d6 7. O-O Na6 8. a3 e5 9. d3 c5 10. b5 Nc7 11. e3 e4 12. dxe4 fxe4 13. Ng5 h6 14. Nxe4 Nxe4 15. Bxg7 Nxf2 16. Rxf2 Rxf2 17. Kxf2 Kxg7 18. Nc3 Qf6+ {White resigns} 0-1","black"
"4","FICS rated lightning game","Graciasdonatota","Knightsmasher","1659","2566","45.7","53.7","60+0","2017.01.31","22:43:00","0:01:00.000","0:01:00.000","A46","46","0-1","1. d4 Nf6 2. Nf3 e6 3. Bf4 Be7 4. e3 Nh5 5. Bg3 Nxg3 6. hxg3 c5 7. Bd3 Qb6 8. Nbd2 cxd4 9. exd4 Qxb2 10. O-O Nc6 11. Nc4 Qc3 12. Rb1 Nxd4 13. Nfe5 d5 14. Ne3 O-O 15. Qh5 g6 16. Qh6 Ne2+ 17. Kh2 Nxg3 18. fxg3 Qxe5 19. Rbe1 Bb4 20. Ng4 Qg7 21. Qh4 Bxe1 22. Nf6+ Kh8 23. Rxe1 b6 {White forfeits on time} 0-1","black"
"5","FICS rated lightning game","Knightsmasher","Graciasdonatota","2566","1659","53.7","45.7","60+0","2017.01.31","22:42:00","0:01:00.000","0:01:00.000","A43","31","1-0","1. d4 c5 2. e3 e6 3. Nf3 Nf6 4. Nc3 b6 5. Bd3 Bb7 6. O-O Be7 7. e4 d6 8. dxc5 dxc5 9. e5 Nd5 10. Ne4 Nd7 11. a3 O-O 12. Qe2 Re8 13. Rd1 Nf8 14. Bb5 Qc7 15. Bxe8 Rxe8 16. c4 {Black resigns} 1-0","white"
"6","FICS rated lightning game","Graciasdonatota","Knightsmasher","1659","2566","45.7","53.7","60+0","2017.01.31","22:40:00","0:01:00.000","0:01:00.000","C44","54","0-1","1. e4 e5 2. Nf3 Nf6 3. d3 Nc6 4. c3 Be7 5. h3 O-O 6. Be2 d5 7. Nbd2 Qd6 8. a4 Rd8 9. Qc2 Nh5 10. Nf1 dxe4 11. dxe4 Qg6 12. g4 Nf4 13. Bxf4 exf4 14. N1d2 a6 15. O-O-O Be6 16. Nb3 Bxb3 17. Qxb3 Qxe4 18. Rhe1 Na5 19. Qc2 Qxc2+ 20. Kxc2 Rxd1 21. Rxd1 Re8 22. b4 Nc6 23. Bc4 Bd6 24. Bd5 Nd8 25. Rd2 g6 26. Nd4 c5 27. Nb3 cxb4 {White resigns} 0-1","black"
"7","FICS rated blitz game","Knightsmasher","raimu","2367","1720","40.5","334.5","180+0","2017.01.31","22:37:00","0:03:00.000","0:03:00.000","B00","1","1-0","1. e4 {Black resigns} 1-0","white"
"8","FICS rated standard game","TwoBishops","CalculonX","2041","2053","162.4","30.0","900+15","2017.01.31","21:45:00","0:15:00.000","0:15:00.000","A29","135","1-0","1. c4 Nf6 2. Nc3 e5 3. g3 d5 4. cxd5 Nxd5 5. Bg2 Nb6 6. Nf3 Nc6 7. O-O Be6 8. d3 Bc5 9. Ng5 Bg4 10. Nge4 Be7 11. f4 Qd4+ 12. Kh1 O-O 13. fxe5 Nxe5 14. Bf4 a6 15. h3 Bh5 16. g4 Bg6 17. e3 Qxd3 18. Bxe5 Bxe4 19. Nxe4 Qb5 20. b3 Qxe5 21. Rf5 Qb2 22. Qd4 Qxd4 23. exd4 g6 24. Re5 Rfe8 25. Re1 Nd7 26. Nf6+ Nxf6 27. Rxe7 Rxe7 28. Rxe7 c6 29. Rxb7 Nd5 30. Bxd5 cxd5 31. Rb6 Kg7 32. Rd6 Rc8 33. Rxa6 Rc3 34. Kg2 Rd3 35. Ra4 g5 36. Rb4 Rd2+ 37. Kg3 Rd3+ 38. Kg2 Rd2+ 39. Kg3 Rxa2 40. h4 gxh4+ 41. Kxh4 Rh2+ 42. Kg3 Rd2 43. Kf4 Re2 44. Kf5 Re4 45. g5 Rh4 46. Ke5 Rh5 47. Kxd5 h6 48. Kc6 hxg5 49. d5 Rh3 50. d6 Rc3+ 51. Rc4 Rxc4+ 52. bxc4 g4 53. d7 Kg6 54. d8=Q f6 55. Qd5 f5 56. Qd2 Kf6 57. Qf4 Ke6 58. c5 Kf6 59. Kd5 Kg7 60. Qxf5 g3 61. Qg4+ Kf7 62. Qxg3 Kf6 63. Qf4+ Kg7 64. Qd6 Kg8 65. Qe7 Kh8 66. c6 Kg8 67. c7 Kh8 68. c8=Q# {Black checkmated} 1-0","black"
"9","FICS rated blitz game","FedorEmelianenko","IFDThor","1993","2039","26.1","17.6","300+0","2017.01.31","22:05:00","0:05:00.000","0:05:00.000","A45","70","1/2-1/2","1. d4 Nf6 2. Bg5 Ne4 3. h4 Nxg5 4. hxg5 Nc6 5. e3 e6 6. g6 fxg6 7. Bd3 Qg5 8. Nf3 Qxg2 9. Rh2 Qg4 10. Rh4 Bb4+ 11. c3 Qxh4 12. Nxh4 Be7 13. Qg4 d5 14. Qg3 Bd7 15. Nxg6 hxg6 16. Qxg6+ Kf8 17. Nd2 Rh2 18. Nf3 Rh6 19. Qg2 Bf6 20. O-O-O Ke7 21. Rh1 Rah8 22. Rxh6 gxh6 23. Qg6 h5 24. e4 Be8 25. Qg3 Kd8 26. e5 Be7 27. Nh4 Rf8 28. f4 Bf7 29. Kc2 Rg8 30. Qh3 Rg4 31. Ng2 Na5 32. Be2 Rg8 33. Bd3 Rg4 34. Be2 Rg8 35. Bd3 Rg4 {Game drawn by repetition} 1/2-1/2","black"
"10","FICS rated blitz game","IFDThor","FedorEmelianenko","2040","1992","17.6","26.1","300+0","2017.01.31","22:03:00","0:05:00.000","0:05:00.000","D43","82","1/2-1/2","1. d4 Nf6 2. c4 d5 3. Nf3 e6 4. Nc3 c6 5. Bg5 h6 6. Bxf6 Qxf6 7. e3 Bd6 8. c5 Bc7 9. Bd3 Nd7 10. O-O O-O 11. Qe2 Re8 12. b4 e5 13. dxe5 Nxe5 14. Nd4 Qh4 15. g3 Qh3 16. f3 Be6 17. Nxe6 Rxe6 18. Rad1 Re7 19. Qg2 Qh5 20. Be2 Qg6 21. e4 dxe4 22. Nxe4 Rae8 23. Nd6 Bxd6 24. cxd6 Rd7 25. f4 Ng4 26. Bxg4 Qxg4 27. Qf2 Re2 28. Qxa7 Qe6 29. a4 Qe4 30. Rf2 Rxf2 31. Qxf2 Qxb4 32. Qa7 Qb3 33. Rd2 Qb4 34. Qa8+ Kh7 35. Qc8 Qxd2 36. Qxd7 Qe3+ 37. Kg2 Qe2+ 38. Kh3 Qh5+ 39. Kg2 Qe2+ 40. Kh3 Qh5+ 41. Kg2 Qe2+ {Game drawn by repetition} 1/2-1/2","white"
